"Possible Locations__ADDRESS","Possible Locations__BLK_NO","Possible Locations__BUILDING","Possible Locations__LATITUDE","Possible Locations__LONGITUDE","Possible Locations__LONGTITUDE","Possible Locations__POSTAL","Possible Locations__ROAD_NAME","Possible Locations__SEARCHVAL","Possible Locations__X","Possible Locations__Y","Station","Station Name"
"10 OUTRAM ROAD OUTRAM PARK MRT STATION SINGAPORE 169037","10","OUTRAM PARK MRT STATION","1.28140491195148","103.839130571022","103.839130571022","169037","OUTRAM ROAD","OUTRAM PARK MRT STATION","28646.8272404503","29316.765383333","",""
"300 TIONG BAHRU ROAD TIONG BAHRU MRT STATION SINGAPORE 168731","300","TIONG BAHRU MRT STATION","1.28610253615777","103.827445112419","103.827445112419","168731","TIONG BAHRU ROAD","TIONG BAHRU MRT STATION","27346.3322650865","29836.2044219486","EW17","Tiong Bahru"
"920 TIONG BAHRU ROAD REDHILL MRT STATION SINGAPORE 158792","920","REDHILL MRT STATION","1.28963453358141","103.816740969874","103.816740969874","158792","TIONG BAHRU ROAD","REDHILL MRT STATION","26155.053255369","30226.7597223129","EW18","Redhill"
"301 COMMONWEALTH AVENUE QUEENSTOWN MRT STATION SINGAPORE 149729","301","QUEENSTOWN MRT STATION","1.29455085184934","103.806077155982","103.806077155982","149729","COMMONWEALTH AVENUE","QUEENSTOWN MRT STATION","24968.2673462266","30770.39111281","EW19","Queenstown"
"375 COMMONWEALTH AVENUE COMMONWEALTH MRT STATION SINGAPORE 149735","375","COMMONWEALTH MRT STATION","1.30250853704708","103.798226128263","103.798226128263","149735","COMMONWEALTH AVENUE","COMMONWEALTH MRT STATION","24094.5286035035","31650.321837496","EW20","Commonwealth"
"100 NORTH BUONA VISTA ROAD BUONA VISTA MRT STATION SINGAPORE 139345","100","BUONA VISTA MRT STATION","1.30722370820444","103.790253514502","103.790253514502","139345","NORTH BUONA VISTA ROAD","BUONA VISTA MRT STATION","23207.2578019602","32171.7150982134","EW21","Buona Vista"
"150 NORTH BUONA VISTA ROAD BUONA VISTA MRT STATION SINGAPORE 139350","150","BUONA VISTA MRT STATION","1.30663450405004","103.790709404436","103.790709404436","139350","NORTH BUONA VISTA ROAD","BUONA VISTA MRT STATION","23257.993026535","32106.5630513858","",""
"200 COMMONWEALTH AVENUE WEST DOVER MRT STATION SINGAPORE 138677","200","DOVER MRT STATION","1.31140529320966","103.778637841909","103.778637841909","138677","COMMONWEALTH AVENUE WEST","DOVER MRT STATION","21914.5509301461","32634.1186314411","EW22","Dover"
"3150 COMMONWEALTH AVENUE WEST CLEMENTI MRT STATION SINGAPORE 129580","3150","CLEMENTI MRT STATION","1.3152012635208","103.765182446647","103.765182446647","129580","COMMONWEALTH AVENUE WEST","CLEMENTI MRT STATION","20417.1034559887","33053.8945524823","EW23","Clementi"
"10 JURONG EAST STREET 12 JURONG EAST MRT STATION SINGAPORE 609690","10","JURONG EAST MRT STATION","1.33315261987297","103.742286544006","103.742286544006","609690","JURONG EAST STREET 12","JURONG EAST MRT STATION","17869.0806001499","35038.9471976683","EW24","Jurong East"
